emr_facility_key,state_code,zip_code_3,facility_type,emr_client_key
5851.0,TX,,C,1001.0
5712.0,NV,891,C,922.0
5854.0,NM,,C,1001.0
5854.0,NM,,C,1025.0
5972.0,IL,,C,1001.0
5768.0,MT,594,O,945.0
5849.0,TX,,C,1029.0
5952.0,FL,,C,1001.0
5849.0,TX,,C,1001.0
6142.0,WA,,C,1001.0
5851.0,TX,,C,1029.0
5930.0,AL,,C,1001.0
5930.0,AL,,C,1045.0
5952.0,FL,,C,998.0
5972.0,IL,,C,1040.0
6103.0,TX,,C,1034.0
5855.0,TX,,C,1001.0
5961.0,IL,,C,1042.0
6008.0,TN,,C,1005.0
6050.0,NH,,C,1017.0
6410.0,NJ,109,O,1122.0
5855.0,TX,,C,1036.0
6161.0,TN,,C,999.0
5634.0,LA,704,O,933.0
6031.0,TN,,C,1005.0
6317.0,MI,483,O,926.0
5850.0,TX,,C,1029.0
6065.0,WA,,C,1001.0
6106.0,MS,,C,1032.0
6407.0,MA,027,C,1118.0
5713.0,MI,480,O,926.0
5850.0,TX,,C,1001.0
6399.0,NC,285,O,1119.0
5899.0,NJ,,C,1030.0
5873.0,IN,,C,1012.0
5878.0,NM,,C,1001.0
5878.0,NM,,C,1025.0
6152.0,NJ,,C,992.0
5746.0,ME,049,C,913.0
5863.0,UT,,C,1001.0
5873.0,IN,,C,1001.0
6098.0,LA,714,C,1050.0
6268.0,CA,910,C,898.0
5863.0,UT,,C,1046.0
6065.0,WA,,C,1002.0
6133.0,TN,,C,999.0
5829.0,TX,,C,1001.0
6004.0,TN,,C,1005.0
6405.0,NJ,109,O,1122.0
5663.0,ME,049,C,913.0
5904.0,NC,,C,995.0
5904.0,NC,,C,1001.0
6030.0,TN,,C,1001.0
5871.0,IN,,C,1001.0
5829.0,TX,,C,1036.0
5871.0,IN,,C,1012.0
6030.0,TN,,C,1005.0
6178.0,OK,,C,1027.0
5883.0,UT,,C,1001.0
5755.0,MI,483,O,926.0
5861.0,AR,,C,1001.0
5623.0,IN,478,C,896.0
5861.0,AR,,C,1020.0
5883.0,UT,,C,1046.0
6403.0,OK,731,C,1124.0
5830.0,GA,,C,1001.0
5807.0,NY,105,O,914.0
5830.0,GA,,C,1044.0
6048.0,MI,497,C,1016.0
6048.0,MI,,C,1001.0
6052.0,CA,961,C,1049.0
6069.0,WA,,C,1002.0
6394.0,MA,027,C,1118.0
6406.0,NY,125,O,1122.0
5947.0,DE,,C,1031.0
6052.0,CA,,C,1001.0
6159.0,GA,,C,993.0
6363.0,UT,840,O,1096.0
5890.0,IA,,C,1052.0
5918.0,GA,,C,993.0
6022.0,TN,,C,1005.0
6119.0,PA,,C,988.0
5831.0,TN,,C,1005.0
5890.0,IA,,C,1001.0
5918.0,GA,,C,1001.0
6326.0,MI,483,O,926.0
6357.0,MN,560,O,1097.0
5874.0,IN,,C,1012.0
5999.0,TN,,C,1005.0
6149.0,TX,,C,1029.0
5890.0,IA,,C,1011.0
5960.0,IL,,C,1042.0
6069.0,WA,,C,1001.0
6119.0,PA,,C,1001.0
6012.0,TX,,C,979.0
6088.0,KY,,C,1001.0
5748.0,LA,704,O,933.0
5993.0,AL,,C,1045.0
6255.0,,,C,1072.0
5702.0,FL,334,O,938.0
5993.0,AL,,C,1001.0
6018.0,TX,,C,979.0
6088.0,KY,,C,987.0
5577.0,CA,917,C,898.0
5583.0,NJ,088,O,919.0
6347.0,WI,498,C,1101.0
5645.0,MN,558,C,932.0
5933.0,UT,,C,1046.0
6314.0,,,H,1113.0
6107.0,NJ,194,C,978.0
5865.0,FL,,C,1001.0
6361.0,NV,891,O,1102.0
5629.0,MT,599,C,924.0
5865.0,FL,,C,1026.0
6282.0,TX,,C,1029.0
5568.0,GA,305,O,953.0
5655.0,PA,193,O,901.0
5957.0,IL,,C,1042.0
6081.0,LA,,C,1001.0
5737.0,VA,232,O,905.0
5994.0,AL,,C,1013.0
6102.0,TX,,C,1034.0
6360.0,NY,147,C,1099.0
5971.0,IL,,C,1001.0
6076.0,PA,,C,985.0
6081.0,LA,714,C,996.0
6086.0,LA,714,C,1009.0
6145.0,WA,,C,1001.0
5971.0,IL,,C,1040.0
6140.0,WA,,C,1001.0
6254.0,,,,1072.0
6281.0,PA,,C,1031.0
6100.0,TX,,C,1034.0
6251.0,MI,483,O,926.0
6254.0,,,,1113.0
6344.0,NV,891,O,1102.0
5957.0,IL,,C,1001.0
6076.0,PA,,C,1001.0
6118.0,UT,,C,1014.0
6129.0,TN,,C,999.0
5659.0,CA,930,C,898.0
6128.0,TN,,C,999.0
6236.0,MI,,C,1058.0
5674.0,CA,910,C,898.0
6087.0,NJ,,C,1001.0
6296.0,TN,,C,999.0
6087.0,NJ,,C,1051.0
5911.0,IN,,C,1003.0
5921.0,GA,,C,1001.0
6125.0,IA,,C,1052.0
5963.0,IL,,C,1042.0
5992.0,AL,,C,1045.0
5923.0,GA,,C,1001.0
5925.0,SC,,C,1001.0
5923.0,GA,,C,993.0
5992.0,AL,,C,1001.0
6011.0,CA,,C,1019.0
6037.0,TN,,C,1005.0
5877.0,LA,714,C,1033.0
5877.0,LA,,C,1001.0
5921.0,GA,,C,993.0
6263.0,,,C,1072.0
5704.0,MT,594,O,945.0
5925.0,SC,309,C,1038.0
6011.0,CA,,C,1001.0
6125.0,IA,,C,1011.0
6146.0,TN,,C,999.0
5844.0,CA,,C,1022.0
6136.0,TX,,C,979.0
6162.0,TN,,C,999.0
6189.0,TX,,C,979.0
6033.0,TN,,C,1001.0
6346.0,NV,891,O,1102.0
6358.0,FL,329,C,1098.0
5919.0,GA,,C,993.0
5919.0,GA,,C,1001.0
5946.0,PA,,C,1031.0
6033.0,TN,,C,1005.0
5599.0,CA,935,C,898.0
5724.0,CT,069,C,928.0
5869.0,VA,,C,1001.0
6064.0,WA,,C,1001.0
6064.0,WA,,C,1002.0
5869.0,VA,,C,982.0
5870.0,IN,,C,1001.0
5956.0,IL,,C,1042.0
6099.0,TX,,C,1034.0
5870.0,IN,,C,1012.0
6097.0,LA,714,C,1008.0
6345.0,NY,105,O,1095.0
5852.0,TX,,C,1001.0
6024.0,TN,,C,1005.0
5835.0,GA,,C,1043.0
5885.0,UT,,C,1001.0
5835.0,GA,,C,1001.0
5872.0,IN,,C,1012.0
5885.0,UT,,C,1046.0
5887.0,UT,,C,1046.0
5571.0,NY,104,C,916.0
5872.0,IN,,C,1001.0
6101.0,TX,,C,1034.0
6353.0,NV,000,O,1102.0
5852.0,TX,,C,1029.0
5800.0,NY,106,O,914.0
5832.0,WA,,C,1002.0
5833.0,GA,,C,1043.0
5928.0,IN,479,C,1041.0
6060.0,VA,,C,982.0
6060.0,VA,,C,1001.0
6138.0,KY,,C,987.0
5845.0,CA,,C,1022.0
6036.0,TN,,C,1005.0
6068.0,WA,,C,1002.0
5867.0,VA,,C,982.0
5867.0,VA,,C,1001.0
5928.0,IN,,C,1001.0
5832.0,WA,,C,1001.0
5833.0,GA,,C,1001.0
6001.0,TN,,C,1005.0
6154.0,NJ,,C,992.0
5633.0,NY,110,O,899.0
5675.0,GA,305,O,953.0
6393.0,FL,338,O,1120.0
5862.0,UT,,C,1001.0
5950.0,FL,,C,998.0
5950.0,FL,,C,1001.0
6000.0,TN,,C,1005.0
6170.0,OK,,C,1027.0
6291.0,MS,,C,1004.0
5836.0,GA,,C,1001.0
6071.0,GA,,C,1000.0
5862.0,UT,,C,1046.0
6023.0,TN,,C,1005.0
6071.0,GA,,C,1001.0
5836.0,GA,,C,1043.0
5891.0,TX,,C,1029.0
