dx_cd,icd_code,icd_type,icd_desc
F11229,F11.229,2.0,"OPIOID DEPENDENCE WITH INTOXICATION, UNSPECIFIED"
F40232,F40.232,2.0,FEAR OF OTHER MEDICAL CARE
F78,F78,2.0,OTHER INTELLECTUAL DISABILITIES
G5761,G57.61,2.0,"LESION OF PLANTAR NERVE, RIGHT LOWER LIMB"
G6182,G61.82,2.0,MULTIFOCAL MOTOR NEUROPATHY
S8252XA,S82.52XA,2.0,"DISPLACED FRACTURE OF MEDIAL MALLEOLUS OF LEFT TIBIA, INITIAL ENCOUNTER FOR CLOSED FRACTURE"
I87013,I87.013,2.0,POSTTHROMBOTIC SYNDROME WITH ULCER OF BILATERAL LOWER EXTREMITY
I97110,I97.110,2.0,POSTPROCEDURAL CARDIAC INSUFFICIENCY FOLLOWING CARDIAC SURGERY
J850,J85.0,2.0,GANGRENE AND NECROSIS OF LUNG
K090,K09.0,2.0,DEVELOPMENTAL ODONTOGENIC CYSTS
K283,K28.3,2.0,ACUTE GASTROJEJUNAL ULCER WITHOUT HEMORRHAGE OR PERFORATION
K420,K42.0,2.0,"UMBILICAL HERNIA WITH OBSTRUCTION, WITHOUT GANGRENE"
K929,K92.9,2.0,"DISEASE OF DIGESTIVE SYSTEM, UNSPECIFIED"
N99842,N99.842,2.0,POSTPROCEDURAL SEROMA OF A GENITOURINARY SYSTEM ORGAN OR STRUCTURE FOLLOWING A GENITOURINARY SYSTEM PROCEDURE
O2311,O23.11,2.0,"INFECTIONS OF BLADDER IN PREGNANCY, FIRST TRIMESTER"
O24430,O24.430,2.0,"GESTATIONAL DIABETES MELLITUS IN THE PUERPERIUM, DIET CONTROLLED"
O30012,O30.012,2.0,"TWIN PREGNANCY, MONOCHORIONIC/MONOAMNIOTIC, SECOND TRIMESTER"
O30191,O30.191,2.0,"TRIPLET PREGNANCY, UNABLE TO DETERMINE NUMBER OF PLACENTA AND NUMBER OF AMNIOTIC SACS, FIRST TRIMESTER"
O740,O74.0,2.0,ASPIRATION PNEUMONITIS DUE TO ANESTHESIA DURING LABOR AND DELIVERY
